account,date,amount,category
Card ending 3317,45061,-712.94,Drawings
Card ending 3317,45093,-57.33,Penalty 
Card ending 3317,45062,-44.55,Materials & supplies
Card ending 3317,45034,-51.41,Income Tax paid/refund
Card ending 3317,45001,-45.18,Income Tax Payable
Card ending 3317,44973,-39.33,Transfer between accounts suspense
Card ending 3317,44943,-38.5,Uniform 
Card ending 3317,44923,-36.01,Less: Accumulated amortisation
Card ending 4254,44881,-78.9,Purchase (Stock) - GST Free
Card ending 4254,44852,-68.41,Staff amenities
Card ending 4254,44820,-82.62,Lease Payments
Card ending 4254,44789,-122.4,Public Transport
Card ending 4254,44760,-63.33,FBT contribution 
Card ending 4254,44747,-59.0,PAYG withheld payable
Card ending 4254,44839,-14.95,Fine 
Card ending 3317,45085,-424.19,Books
Card ending 3317,45033,-337.82,Internet
Card ending 3317,45000,-337.74,Filing fees
Card ending 3317,44985,-335.18,Superannuation expense
Card ending 3317,44953,-371.37,GST payable control account
Card ending 3317,44936,-336.75,Rates & land taxes
Card ending 3317,44910,-337.55,Accounting fee
Card ending 4254,44874,-334.76,Uniform 
Card ending 4254,44841,-337.83,Freight and Cartage
Card ending 4254,44803,-353.32,Less: Accumulated depreciation
Card ending 4254,44768,-340.25,Director Loans
Card ending 4254,44880,-64.99,Motor Vehicle Expenses
Card ending 4254,44876,-59.99,Computers 
Card ending 4254,44866,-59.0,Amenities
Card ending 4254,44851,-59.99,Amenities
Card ending 4254,44846,-59.99,Interest received
Card ending 4254,44819,-59.99,Car loan repayment
Card ending 4254,44816,-59.99,Entertainment
Card ending 4254,44790,-59.99,Repairs & maintenance
Card ending 4254,44784,-59.99,Cash on hand
Card ending 4254,44760,-59.99,M/V related expense
Card ending 4254,44754,-59.99,PAYG withhheld paid 
Card ending 3317,45044,-5.1,Website related expense
Card ending 3317,44939,-15.0,Distribution from trusts
Card ending 3317,44908,-15.0,Office supplies
Card ending 4254,44879,-15.0,Professional Development
Card ending 4254,44847,-15.0,Distribution from trusts
Card ending 4254,44817,-15.0,Chattle mortgage repayment
Card ending 4254,44788,-15.0,Fine 
Card ending 4254,44755,-15.0,Staff amenities
Card ending 4254,44774,-2.0,Rental  Bond
Card ending 3317,45086,-55.44,Office supplies
Card ending 3317,45055,-55.44,Travel - domestic
Card ending 3317,45027,-55.43,MVE
Card ending 3317,44972,-54.9,GST paid/collected
Card ending 3317,45106,-560.0,Distribution from trusts
Card ending 3317,45043,-975.66,Telephone
Card ending 3317,45104,-74.99,Rental  Bond
Card ending 3317,45075,-74.99,Training
Card ending 3317,45043,-74.99,Trade debtors
Card ending 3317,45013,-74.99,PAYG income instalment payable 
Card ending 3317,45000,-10.0,BAS payment suspense
Card ending 3317,44984,-74.99,Telephone
Card ending 3317,44956,-74.99,Entertainment
Card ending 3317,44931,-2.42,Superannuation payable
Card ending 3317,44925,-89.99,GST payable control account
Card ending 4254,44879,-89.99,Goodwill
Card ending 4254,44848,-89.99,Motor Vehicle Expenses
Card ending 4254,44818,-89.99,Rental  Bond
Card ending 4254,44788,-89.99,Legal fees
Card ending 4254,44756,-89.99,Less: Accumulated depreciation
Card ending 4254,44816,-238.91,Meals
Card ending 3317,45096,-5.6,Preliminary expenses
Card ending 3317,45005,-4.5,Legal fees
Card ending 3317,45005,-3.2,Bank Account 3
Card ending 3317,44974,-11.5,Insurance
Card ending 3317,44963,-3.2,Repairs & maintenance
Card ending 3317,44915,-40.0,Uniform 
Card ending 4254,44886,-20.0,ATO payment suspense
Card ending 4254,44882,-20.0,Cash on hand
Card ending 4254,44879,-20.0,Superannuation payable
Card ending 4254,44847,-20.0,Payroll tax paid 
Card ending 4254,44847,-20.0,Parking
Card ending 3317,45061,-5.7,ASIC fees
Card ending 3317,45061,-2.95,Less: Accumulated depreciation
Card ending 3317,45047,-2.95,Depreciation
Card ending 3317,45027,-4.71,Income Tax paid/refund
Card ending 4254,44854,-81.9,Wate rates
Card ending 4254,44900,-10.0,Issued & paid up capital
Card ending 4254,44900,-8.9,Uniform 
Card ending 3317,44925,-1236.05,Interest received
Card ending 3317,44939,-71.05,Depreciation
Card ending 4254,44817,-19.0,Staff training
Card ending 4254,44830,-14.65,Entertainment
Card ending 4254,44881,-12.4,Wages
Card ending 4254,44859,-78.31,Accomodation
Card ending 3317,44908,-9.14,Income Tax paid/refund
Card ending 3317,45075,-13.2,Bank Account 2
Card ending 4254,44832,-191.89,Penalty 
Card ending 4254,44881,-4508.0,ASIC fees
Card ending 3317,44923,-739.34,Consulting fees
Card ending 3317,44923,-54.36,Materials & supplies
Card ending 3317,45075,-16.75,Wages
Card ending 4254,44847,-17.76,Preliminary expenses
Card ending 4254,44805,-15.73,Staff amenities
Card ending 3317,45044,-6.79,Shares in other companies (Listed)
Card ending 4254,44860,-5.96,Travel - domestic
